Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
22,73,55,2,0,40,4,caught,1,v South Africa,Nagpur,11/25/15,India,Test,No
16,49,30,2,0,53.33,4,caught,3,v South Africa,Nagpur,11/25/15,India,Test,No
44,74,62,7,0,70.96,4,caught,1,v South Africa,Delhi,3/12/15,India,Test,No
88,259,165,10,0,53.33,5,lbw,3,v South Africa,Delhi,3/12/15,India,Test,No
200,375,283,24,0,70.67,4,bowled,1,v West Indies,North Sound,7/21/16,,Test,Yes
44,144,90,4,1,48.88,4,caught,2,v West Indies,Kingston,7/30/16,West Indies,Test,No
3,17,8,0,0,37.5,3,caught,1,v West Indies,Gros Islet,9/8/16,West Indies,Test,No
4,21,17,0,0,23.52,3,lbw,3,v West Indies,Gros Islet,9/8/16,West Indies,Test,No
TDNB,-,-,-,-,-,-,-,-,v West Indies,Port of Spain,8/18/16,West Indies,Test,No
9,12,10,2,0,90,4,caught,1,v New Zealand,Kanpur,9/22/16,India,Test,No
18,45,40,3,0,45,4,caught,3,v New Zealand,Kanpur,9/22/16,India,Test,No
9,42,28,1,0,32.14,4,caught,1,v New Zealand,Eden Gardens,9/30/16,India,Test,No
45,82,65,7,0,69.23,4,lbw,3,v New Zealand,Eden Gardens,9/30/16,India,Test,No
211,536,366,20,0,57.65,4,lbw,1,v New Zealand,Indore,8/10/16,India,Test,Yes
17,36,28,1,0,60.71,4,lbw,3,v New Zealand,Indore,8/10/16,India,Test,No
40,135,95,5,0,42.1,4,hit wicket,2,v England,Rajkot,9/11/16,India,Test,No
49*,129,98,6,0,50,4,not out,4,v England,Rajkot,9/11/16,India,Test,No
167,401,267,18,0,62.54,4,caught,1,v England,Visakhapatnam,11/17/16,India,Test,Yes
81,172,109,8,0,74.31,4,caught,3,v England,Visakhapatnam,11/17/16,India,Test,No
62,161,127,9,0,48.81,4,caught,2,v England,Mohali,11/26/16,India,Test,No
6*,11,11,0,0,54.54,4,not out,4,v England,Mohali,11/26/16,India,Test,No
235,515,340,25,1,69.11,4,caught,2,v England,Wankhede,8/12/16,India,Test,Yes
15,44,29,1,0,51.72,4,caught,2,v England,Chennai,12/16/16,India,Test,No
204,295,246,24,0,82.92,4,lbw,1,v Bangladesh,Hyderabad (Deccan),9/2/17,India,Test,Yes
38,51,40,2,1,95,4,caught,3,v Bangladesh,Hyderabad (Deccan),9/2/17,India,Test,No
0,2,2,0,0,0,4,caught,2,v Australia,Pune,2/23/17,India,Test,No
13,33,37,1,0,35.13,4,bowled,4,v Australia,Pune,2/23/17,India,Test,No
12,25,17,2,0,70.58,4,lbw,1,v Australia,Bengaluru,4/3/17,India,Test,No
15,34,25,1,0,60,4,lbw,3,v Australia,Bengaluru,4/3/17,India,Test,No
6,38,23,0,0,26.08,4,caught,2,v Australia,Ranchi,3/16/17,India,Test,No
3,15,8,0,0,37.5,4,caught,1,v Sri Lanka,Galle,7/26/17,Sri Lanka,Test,No
103*,158,136,5,1,75.73,4,not out,3,v Sri Lanka,Galle,7/26/17,Sri Lanka,Test,Yes
13,31,29,2,0,44.82,4,caught,1,v Sri Lanka,Colombo (SSC),3/8/17,Sri Lanka,Test,No
42,119,84,3,0,50,4,caught,1,v Sri Lanka,Pallekele,12/8/17,Sri Lanka,Test,No
0,18,11,0,0,0,4,lbw,1,v Sri Lanka,Eden Gardens,11/16/17,India,Test,No
104*,208,119,12,2,87.39,4,not out,3,v Sri Lanka,Eden Gardens,11/16/17,India,Test,Yes
213,386,267,17,2,79.77,4,caught,2,v Sri Lanka,Nagpur,11/24/17,India,Test,Yes
243,447,287,25,0,84.66,4,lbw,1,v Sri Lanka,Delhi,2/12/17,India,Test,Yes
50,89,58,3,0,86.2,5,caught,3,v Sri Lanka,Delhi,2/12/17,India,Test,No
5,14,13,0,0,38.46,4,caught,2,v South Africa,Cape Town,5/1/18,South Africa,Test,No
28,62,40,4,0,70,4,lbw,4,v South Africa,Cape Town,5/1/18,South Africa,Test,No
153,379,217,15,0,70.5,4,caught,2,v South Africa,Centurion,1/13/18,South Africa,Test,Yes
5,22,20,1,0,25,4,lbw,4,v South Africa,Centurion,1/13/18,South Africa,Test,No
54,146,106,9,0,50.94,4,caught,1,v South Africa,Johannesburg,1/24/18,South Africa,Test,No
41,131,79,6,0,51.89,5,bowled,3,v South Africa,Johannesburg,1/24/18,South Africa,Test,No
149,277,225,22,1,66.22,4,caught,2,v England,Birmingham,1/8/18,England,Test,Yes
51,185,93,4,0,54.83,4,lbw,4,v England,Birmingham,1/8/18,England,Test,No
23,73,57,2,0,40.35,4,caught,1,v England,Lord's,9/8/18,England,Test,No
17,57,29,2,0,58.62,5,caught,3,v England,Lord's,9/8/18,England,Test,No
97,243,152,11,0,63.81,4,caught,1,v England,Nottingham,8/18/18,England,Test,No
103,292,197,10,0,52.28,4,lbw,3,v England,Nottingham,8/18/18,England,Test,Yes
46,100,71,6,0,64.78,4,caught,2,v England,Southampton,8/30/18,England,Test,No
58,170,130,4,0,44.61,4,caught,4,v England,Southampton,8/30/18,England,Test,No
49,112,70,6,0,70,4,caught,2,v England,The Oval,7/9/18,England,Test,No
0,3,1,0,0,0,4,caught,4,v England,The Oval,7/9/18,England,Test,No
139,341,230,10,0,60.43,4,caught,1,v West Indies,Rajkot,4/10/18,India,Test,Yes
45,86,78,5,0,57.69,4,lbw,2,v West Indies,Hyderabad (Deccan),12/10/18,India,Test,No
DNB,-,-,-,-,-,-,-,4,v West Indies,Hyderabad (Deccan),12/10/18,India,Test,No
3,17,16,0,0,18.75,4,caught,1,v Australia,Adelaide,6/12/18,Australia,Test,No
34,132,104,3,0,32.69,4,caught,3,v Australia,Adelaide,6/12/18,Australia,Test,No
123,373,257,13,1,47.85,4,caught,2,v Australia,Perth,12/14/18,Australia,Test,Yes
17,64,40,2,0,42.5,4,caught,4,v Australia,Perth,12/14/18,Australia,Test,No
82,305,204,9,0,40.19,4,caught,1,v Australia,Melbourne,12/26/18,Australia,Test,No
0,6,4,0,0,0,4,caught,3,v Australia,Melbourne,12/26/18,Australia,Test,No
23,64,59,4,0,38.98,4,caught,1,v Australia,Sydney,3/1/19,Australia,Test,No
9,64,12,2,0,75,4,caught,1,v West Indies,North Sound,8/22/19,,Test,No
51,64,113,2,0,45.13,4,caught,3,v West Indies,North Sound,8/22/19,,Test,No
